标题,工作项类型,负责人,状态,关联,关注者,截止日期,开始当前工作项才可开始的后置影响,开始当前工作项才可完成的后置影响,开始当前工作项需先开始的前置依赖,开始当前工作项需先完成的前置依赖,描述,任务的来源需求,所属项目,完成当前工作项才可开始的后置影响,完成当前工作项才可完成的后置影响,完成当前工作项需先开始的前置依赖,完成当前工作项需先完成的前置依赖,优先级
REQ-STU-10 社团与活动信息查询,任务,yzy,已完成,,,2026/6/12,,,,,需求编号：REQ-STU-10；原类型：功能需求；适用角色：学生；来源：问卷；来源代表：陈鹏宇；基线版本：SRS-BASELINE-V1.0；计划发布：V1.2；验收标准：按时间、地点、类别检索活动并返回报名或详情入口；用例：UC-STU-10；测试用例：TC-STU-10；变更引用：CR-08;CR-13；标签：学生服务;活动,,校务问答机器人,,,,,普通
REQ-GRA-02 导师信息查询,任务,yzy,已完成,,,2026/5/23,,,,,需求编号：REQ-GRA-02；原类型：功能需求；适用角色：研究生；来源：研究生访谈;学院资料；来源代表：研究生代表；基线版本：SRS-BASELINE-V1.0；计划发布：MVP；验收标准：返回导师方向、招生要求和公开联系方式，保护隐私字段；用例：UC-GRA-02；测试用例：TC-GRA-02；变更引用：CR-08;CR-13；标签：研究生服务,,校务问答机器人,,,,,最高
REQ-GRA-03 培养方案查询,任务,yzy,已完成,,,2026/5/23,,,,,需求编号：REQ-GRA-03；原类型：功能需求；适用角色：研究生；来源：研究生访谈;培养办资料；来源代表：研究生代表；基线版本：SRS-BASELINE-V1.0；计划发布：MVP；验收标准：按年级、专业返回课程和培养环节要求，注明适用版本；用例：UC-GRA-03；测试用例：TC-GRA-03；变更引用：CR-08;CR-13；标签：研究生服务,,校务问答机器人,,,,,最高
REQ-GRA-04 论文流程查询,任务,yzy,已完成,,,2026/5/30,,,,,需求编号：REQ-GRA-04；原类型：功能需求；适用角色：研究生；来源：研究生访谈；来源代表：研究生代表；基线版本：SRS-BASELINE-V1.0；计划发布：V1.1；验收标准：返回开题、中期、预答辩、答辩流程及材料清单；用例：UC-GRA-04；测试用例：TC-GRA-04；变更引用：CR-08;CR-13；标签：研究生服务,,校务问答机器人,,,,,较高
REQ-GRA-05 实验室与设备信息查询,任务,yzy,已完成,,,2026/5/30,,,,,需求编号：REQ-GRA-05；原类型：功能需求；适用角色：研究生；来源：研究生访谈;实验室资料；来源代表：研究生代表；基线版本：SRS-BASELINE-V1.0；计划发布：V1.1；验收标准：返回实验室位置、设备、预约规则和安全要求；用例：UC-GRA-05；测试用例：TC-GRA-05；变更引用：CR-08;CR-13；标签：研究生服务,,校务问答机器人,,,,,较高
REQ-GRA-06 学术活动查询,任务,yzy,已完成,,,2026/6/12,,,,,需求编号：REQ-GRA-06；原类型：功能需求；适用角色：研究生；来源：问卷;学院通知；来源代表：研究生代表；基线版本：SRS-BASELINE-V1.0；计划发布：V1.2；验收标准：返回讲座、会议和学术活动信息，支持按时间筛选；用例：UC-GRA-06；测试用例：TC-GRA-06；变更引用：CR-08;CR-13；标签：研究生服务,,校务问答机器人,,,,,普通
REQ-GRA-07 助教工作查询,任务,yzy,已完成,,,2026/6/12,,,,,需求编号：REQ-GRA-07；原类型：功能需求；适用角色：研究生；来源：助教访谈；来源代表：研究生代表；基线版本：SRS-BASELINE-V1.0；计划发布：V1.2；验收标准：返回助教岗位、工作要求、课表和联系渠道；用例：UC-GRA-07；测试用例：TC-GRA-07；变更引用：CR-08;CR-13；标签：研究生服务,,校务问答机器人,,,,,普通
REQ-TEA-01 个人授课课表查询,任务,yzy,已完成,,,2026/5/23,,,,,需求编号：REQ-TEA-01；原类型：功能需求；适用角色：教师；来源：教师访谈;JAD；来源代表：杨成；基线版本：SRS-BASELINE-V1.0；计划发布：MVP；验收标准：认证教师可查询授课时间、地点、班级和调整信息；用例：UC-TEA-01；测试用例：TC-TEA-01；变更引用：CR-05;CR-08;CR-13；标签：教师服务,,校务问答机器人,,,,,最高
REQ-TEA-02 授课班级学生查询,任务,yzy,已完成,,,2026/5/23,,,,,需求编号：REQ-TEA-02；原类型：功能需求；适用角色：教师；来源：教师访谈；来源代表：杨成；基线版本：SRS-BASELINE-V1.0；计划发布：MVP；验收标准：教师仅能查询授课班级名单，导出操作需记录审计日志；用例：UC-TEA-02；测试用例：TC-TEA-02；变更引用：CR-05;CR-08;CR-13；标签：教师服务;隐私,,校务问答机器人,,,,,最高
REQ-TEA-03 监考安排查询,任务,yzy,已完成,,,2026/5/23,,,,,需求编号：REQ-TEA-03；原类型：功能需求；适用角色：教师；来源：教师访谈;教务资料；来源代表：杨成；基线版本：SRS-BASELINE-V1.0；计划发布：MVP；验收标准：返回监考时间、地点、课程和注意事项，支持冲突提醒；用例：UC-TEA-03；测试用例：TC-TEA-03；变更引用：CR-05;CR-08;CR-13；标签：教师服务,,校务问答机器人,,,,,最高
REQ-TEA-04 教学日历查询,任务,yzy,已完成,,,2026/5/30,,,,,需求编号：REQ-TEA-04；原类型：功能需求；适用角色：教师；来源：教师访谈；来源代表：杨成；基线版本：SRS-BASELINE-V1.0；计划发布：V1.1；验收标准：返回教学周、考试周、调休和重要教学节点；用例：UC-TEA-04；测试用例：TC-TEA-04；变更引用：CR-08;CR-13；标签：教师服务,,校务问答机器人,,,,,较高
REQ-TEA-05 教室借用流程查询,任务,yzy,已完成,,,2026/5/30,,,,,需求编号：REQ-TEA-05；原类型：功能需求；适用角色：教师；来源：教师访谈;行政资料；来源代表：杨成；基线版本：SRS-BASELINE-V1.0；计划发布：V1.1；验收标准：返回申请流程、审批部门、材料和系统入口；用例：UC-TEA-05；测试用例：TC-TEA-05；变更引用：CR-08;CR-13；标签：教师服务;办事流程,,校务问答机器人,,,,,较高
REQ-TEA-06 教学规章查询,任务,yzy,已完成,,,2026/5/30,,,,,需求编号：REQ-TEA-06；原类型：功能需求；适用角色：教师；来源：教师访谈;制度文件；来源代表：杨成；基线版本：SRS-BASELINE-V1.0；计划发布：V1.1；验收标准：按关键词返回教学制度条款、来源和更新时间；用例：UC-TEA-06；测试用例：TC-TEA-06；变更引用：CR-08;CR-13；标签：教师服务;知识库,,校务问答机器人,,,,,较高
REQ-TEA-07 科研管理查询,任务,yzy,已完成,,,2026/6/12,,,,,需求编号：REQ-TEA-07；原类型：功能需求；适用角色：教师；来源：教师访谈；来源代表：杨成；基线版本：SRS-BASELINE-V1.0；计划发布：V1.2；验收标准：返回科研项目、经费流程和通知入口的公开信息；用例：UC-TEA-07；测试用例：TC-TEA-07；变更引用：CR-08;CR-13；标签：教师服务,,校务问答机器人,,,,,普通
REQ-COU-01 学生信息综合查询,任务,yzy,已完成,,,2026/5/23,,,,,需求编号：REQ-COU-01；原类型：功能需求；适用角色：辅导员；来源：辅导员访谈;JAD；来源代表：辅导员代表；基线版本：SRS-BASELINE-V1.0；计划发布：MVP；验收标准：辅导员仅查询管理范围内学生基础信息并记录访问日志；用例：UC-COU-01；测试用例：TC-COU-01；变更引用：CR-05;CR-08;CR-13；标签：辅导员服务;隐私,,校务问答机器人,,,,,最高
REQ-COU-02 学业预警查询,任务,yzy,已完成,,,2026/5/23,,,,,需求编号：REQ-COU-02；原类型：功能需求；适用角色：辅导员；来源：辅导员访谈；来源代表：辅导员代表；基线版本：SRS-BASELINE-V1.0；计划发布：MVP；验收标准：按预警规则返回风险学生和触发原因，避免暴露无关信息；用例：UC-COU-02；测试用例：TC-COU-02；变更引用：CR-05;CR-08;CR-13；标签：辅导员服务,,校务问答机器人,,,,,最高
REQ-COU-03 请假流程查询,任务,yzy,已完成,,,2026/5/30,,,,,需求编号：REQ-COU-03；原类型：功能需求；适用角色：辅导员；来源：辅导员访谈；来源代表：辅导员代表；基线版本：SRS-BASELINE-V1.0；计划发布：V1.1；验收标准：返回请假审批流程、材料和相关系统入口；用例：UC-COU-03；测试用例：TC-COU-03；变更引用：CR-08;CR-13；标签：辅导员服务;办事流程,,校务问答机器人,,,,,较高
REQ-COU-04 资助政策查询,任务,yzy,已完成,,,2026/5/30,,,,,需求编号：REQ-COU-04；原类型：功能需求；适用角色：辅导员；来源：辅导员访谈;政策文件；来源代表：辅导员代表；基线版本：SRS-BASELINE-V1.0；计划发布：V1.1；验收标准：返回资助类别、申请条件、时间节点和材料清单；用例：UC-COU-04；测试用例：TC-COU-04；变更引用：CR-08;CR-13；标签：辅导员服务,,校务问答机器人,,,,,较高
REQ-COU-05 违纪处分规定查询,任务,yzy,已完成,,,2026/5/30,,,,,需求编号：REQ-COU-05；原类型：功能需求；适用角色：辅导员；来源：辅导员访谈;制度文件；来源代表：辅导员代表；基线版本：SRS-BASELINE-V1.0；计划发布：V1.1；验收标准：按关键词返回处分条款、流程和处理部门；用例：UC-COU-05；测试用例：TC-COU-05；变更引用：CR-08;CR-13；标签：辅导员服务,,校务问答机器人,,,,,较高
REQ-COU-06 就业指导信息查询,任务,yzy,已完成,,,2026/6/12,,,,,需求编号：REQ-COU-06；原类型：功能需求；适用角色：辅导员；来源：辅导员访谈；来源代表：辅导员代表；基线版本：SRS-BASELINE-V1.0；计划发布：V1.2；验收标准：返回就业通知、招聘会、政策和指导资源；用例：UC-COU-06；测试用例：TC-COU-06；变更引用：CR-08;CR-13；标签：辅导员服务,,校务问答机器人,,,,,普通
REQ-ADM-01 知识库条目管理,任务,yzy,已完成,,,2026/5/23,,,,,需求编号：REQ-ADM-01；原类型：功能需求；适用角色：行政管理员；来源：管理员访谈;JAD；来源代表：苏奎；基线版本：SRS-BASELINE-V1.0；计划发布：MVP；验收标准：管理员可新增、编辑、停用、回滚知识条目并保留审计记录；用例：UC-ADM-01；测试用例：TC-ADM-01；变更引用：CR-05;CR-08;CR-13；标签：后台管理;知识库,,校务问答机器人,,,,,最高
REQ-ADM-02 问答数据统计,任务,yzy,已完成,,,2026/5/23,,,,,需求编号：REQ-ADM-02；原类型：功能需求；适用角色：行政管理员；来源：管理员访谈；来源代表：苏奎；基线版本：SRS-BASELINE-V1.0；计划发布：MVP；验收标准：展示访问量、命中率、热点问题和反馈数据，支持按时间筛选；用例：UC-ADM-02；测试用例：TC-ADM-02；变更引用：CR-05;CR-08;CR-13；标签：后台管理;统计,,校务问答机器人,,,,,最高
REQ-ADM-03 批量导入导出,任务,yzy,已完成,,,2026/5/30,,,,,需求编号：REQ-ADM-03；原类型：功能需求；适用角色：行政管理员；来源：管理员访谈；来源代表：苏奎；基线版本：SRS-BASELINE-V1.0；计划发布：V1.1；验收标准：支持知识条目批量导入导出，校验失败时返回错误明细；用例：UC-ADM-03；测试用例：TC-ADM-03；变更引用：CR-08;CR-13；标签：后台管理;知识库,,校务问答机器人,,,,,较高
REQ-ADM-04 知识分类管理,任务,yzy,已完成,,,2026/5/30,,,,,需求编号：REQ-ADM-04；原类型：功能需求；适用角色：行政管理员；来源：管理员访谈；来源代表：苏奎；基线版本：SRS-BASELINE-V1.0；计划发布：V1.1；验收标准：支持分类新增、编辑、排序和停用，已有条目需保持可追溯；用例：UC-ADM-04；测试用例：TC-ADM-04；变更引用：CR-08;CR-13；标签：后台管理;知识库,,校务问答机器人,,,,,较高
REQ-ADM-05 未命中问题管理,任务,yzy,已完成,,,2026/5/30,,,,,需求编号：REQ-ADM-05；原类型：功能需求；适用角色：行政管理员；来源：管理员访谈;用户反馈；来源代表：苏奎；基线版本：SRS-BASELINE-V1.0；计划发布：V1.1；验收标准：记录未命中问题，支持转知识条目、分派责任人和关闭验证；用例：UC-ADM-05；测试用例：TC-ADM-05；变更引用：CR-08;CR-13；标签：后台管理;反馈,,校务问答机器人,,,,,较高
REQ-ADM-06 敏感词管理,任务,yzy,已完成,,,2026/6/12,,,,,需求编号：REQ-ADM-06；原类型：功能需求；适用角色：行政管理员；来源：管理员访谈;安全要求；来源代表：苏奎；基线版本：SRS-BASELINE-V1.0；计划发布：V1.2；验收标准：支持敏感词维护、拦截记录和误判申诉处理；用例：UC-ADM-06；测试用例：TC-ADM-06；变更引用：CR-08;CR-13；标签：后台管理;安全,,校务问答机器人,,,,,普通
REQ-ADM-07 系统运行监控,任务,yzy,已完成,,,2026/6/12,,,,,需求编号：REQ-ADM-07；原类型：功能需求；适用角色：行政管理员；来源：管理员访谈;运维要求；来源代表：苏奎；基线版本：SRS-BASELINE-V1.0；计划发布：V1.2；验收标准：展示服务状态、接口异常、队列积压和告警记录；用例：UC-ADM-07；测试用例：TC-ADM-07；变更引用：CR-08;CR-13；标签：后台管理;运维,,校务问答机器人,,,,,普通
REQ-PAR-01 学校信息查询,任务,yzy,已完成,,,2026/5/23,,,,,需求编号：REQ-PAR-01；原类型：功能需求；适用角色：家长；来源：家长问卷;公开资料；来源代表：家长代表；基线版本：SRS-BASELINE-V1.0；计划发布：MVP；验收标准：访客或家长可查询学校概况、院系、联系方式等公开信息；用例：UC-PAR-01；测试用例：TC-PAR-01；变更引用：CR-06;CR-08;CR-13；标签：家长服务,,校务问答机器人,,,,,最高
REQ-PAR-02 学生状态查询,任务,yzy,已完成,,,2026/5/30,,,,,需求编号：REQ-PAR-02；原类型：功能需求；适用角色：家长；来源：家长问卷;隐私评审；来源代表：家长代表；基线版本：SRS-BASELINE-V1.0；计划发布：V1.1；验收标准：仅在学生授权后展示限定范围状态信息，未授权时拒绝查询；用例：UC-PAR-02；测试用例：TC-PAR-02；变更引用：CR-06;CR-08;CR-13；标签：家长服务;隐私,,校务问答机器人,,,,,较高
REQ-PAR-03 费用信息查询,任务,yzy,已完成,,,2026/5/30,,,,,需求编号：REQ-PAR-03；原类型：功能需求；适用角色：家长；来源：家长问卷;财务资料；来源代表：家长代表；基线版本：SRS-BASELINE-V1.0；计划发布：V1.1；验收标准：返回缴费项目、时间、方式和官方入口，不处理支付写操作；用例：UC-PAR-03；测试用例：TC-PAR-03；变更引用：CR-06;CR-08;CR-13；标签：家长服务,,校务问答机器人,,,,,较高
REQ-PAR-04 假期与通知查询,任务,yzy,已完成,,,2026/5/30,,,,,需求编号：REQ-PAR-04；原类型：功能需求；适用角色：家长；来源：家长问卷;学校通知；来源代表：家长代表；基线版本：SRS-BASELINE-V1.0；计划发布：V1.1；验收标准：返回假期安排、重要通知和来源链接；用例：UC-PAR-04；测试用例：TC-PAR-04；变更引用：CR-06;CR-08;CR-13；标签：家长服务,,校务问答机器人,,,,,较高
REQ-PAR-05 校园活动查询,任务,yzy,已完成,,,2026/6/12,,,,,需求编号：REQ-PAR-05；原类型：功能需求；适用角色：家长；来源：家长问卷；来源代表：家长代表；基线版本：SRS-BASELINE-V1.0；计划发布：V1.2；验收标准：返回面向家长或公开参与的校园活动信息；用例：UC-PAR-05；测试用例：TC-PAR-05；变更引用：CR-06;CR-08;CR-13；标签：家长服务,,校务问答机器人,,,,,普通
REQ-VIS-01 招生信息查询,任务,yzy,已完成,,,2026/5/23,,,,,需求编号：REQ-VIS-01；原类型：功能需求；适用角色：访客/考生；来源：考生问卷;招生资料；来源代表：考生代表；基线版本：SRS-BASELINE-V1.0；计划发布：MVP；验收标准：返回招生计划、录取规则、联系方式和年份来源；用例：UC-VIS-01；测试用例：TC-VIS-01；变更引用：CR-06;CR-08;CR-13；标签：访客服务;招生,,校务问答机器人,,,,,最高
REQ-VIS-02 专业介绍查询,任务,yzy,已完成,,,2026/5/23,,,,,需求编号：REQ-VIS-02；原类型：功能需求；适用角色：访客/考生；来源：考生问卷;院系资料；来源代表：考生代表；基线版本：SRS-BASELINE-V1.0；计划发布：MVP；验收标准：返回专业方向、课程特色、就业方向和院系来源；用例：UC-VIS-02；测试用例：TC-VIS-02；变更引用：CR-06;CR-08;CR-13；标签：访客服务;招生,,校务问答机器人,,,,,最高
REQ-VIS-03 校园环境查询,任务,yzy,已完成,,,2026/5/30,,,,,需求编号：REQ-VIS-03；原类型：功能需求；适用角色：访客/考生；来源：考生问卷;公开资料；来源代表：考生代表；基线版本：SRS-BASELINE-V1.0；计划发布：V1.1；验收标准：返回宿舍、食堂、图书馆和校园设施公开信息；用例：UC-VIS-03；测试用例：TC-VIS-03；变更引用：CR-06;CR-08;CR-13；标签：访客服务,,校务问答机器人,,,,,较高
REQ-VIS-04 交通与周边查询,任务,yzy,已完成,,,2026/6/12,,,,,需求编号：REQ-VIS-04；原类型：功能需求；适用角色：访客/考生；来源：考生问卷;公开资料；来源代表：考生代表；基线版本：SRS-BASELINE-V1.0；计划发布：V1.2；验收标准：返回到校路线、周边交通和地图入口；用例：UC-VIS-04；测试用例：TC-VIS-04；变更引用：CR-06;CR-08;CR-13；标签：访客服务,,校务问答机器人,,,,,普通
REQ-VIS-05 校园导览,任务,yzy,已完成,,,2026/6/12,,,,,需求编号：REQ-VIS-05；原类型：功能需求；适用角色：访客/考生；来源：考生问卷;原型评审；来源代表：考生代表；基线版本：SRS-BASELINE-V1.0；计划发布：V1.2；验收标准：提供校园地点问答和导览路线，移动端可用；用例：UC-VIS-05；测试用例：TC-VIS-05；变更引用：CR-06;CR-08;CR-13；标签：访客服务;移动端,,校务问答机器人,,,,,普通
COM-REQ-01 自然语言理解,任务,yzy,已完成,,,2026/5/23,,,,,需求编号：COM-REQ-01；原类型：通用能力；适用角色：全部用户；来源：JAD;技术评审；来源代表：全体用户代表；基线版本：SRS-BASELINE-V1.0；计划发布：MVP；验收标准：核心意图识别准确率达到验收标准，无法识别时触发澄清或兜底；用例：UC-COM-00；测试用例：TC-COM-00；变更引用：CR-05;CR-13;CR-16；标签：通用能力;NLU,,校务问答机器人,,,,,最高
COM-REQ-02 统一认证与授权,任务,yzy,已完成,,,2026/5/23,,,,,需求编号：COM-REQ-02；原类型：通用能力；适用角色：内部用户；来源：管理员访谈;安全评审；来源代表：苏奎；基线版本：SRS-BASELINE-V1.0；计划发布：MVP；验收标准：接入CAS/OAuth2.0，按角色授权并记录访问日志；用例：UC-COM-01；测试用例：TC-COM-01；变更引用：CR-03;CR-05;CR-13；标签：通用能力;认证,,校务问答机器人,,,,,最高
COM-REQ-03 多端自适应,任务,yzy,已完成,,,2026/5/30,,,,,需求编号：COM-REQ-03；原类型：通用能力；适用角色：全部用户；来源：原型评审;用户反馈；来源代表：全体用户代表；基线版本：SRS-BASELINE-V1.0；计划发布：V1.1；验收标准：微信小程序、H5和桌面Web关键页面布局可用且无阻塞问题；用例：UC-COM-04；测试用例：TC-COM-04；变更引用：CR-06;CR-13；标签：通用能力;移动端,,校务问答机器人,,,,,较高
COM-REQ-04 兜底与转人工,任务,yzy,已完成,,,2026/5/30,,,,,需求编号：COM-REQ-04；原类型：通用能力；适用角色：全部用户；来源：JAD;管理员访谈；来源代表：苏奎；基线版本：SRS-BASELINE-V1.0；计划发布：V1.1；验收标准：连续未命中或低置信度时进入反馈/转人工流程并可追踪关闭；用例：UC-COM-05；测试用例：TC-COM-05；变更引用：CR-05;CR-13；标签：通用能力;反馈,,校务问答机器人,,,,,较高
COM-REQ-05 对话历史,任务,yzy,已完成,,,2026/5/30,,,,,需求编号：COM-REQ-05；原类型：通用能力；适用角色：内部用户；来源：用户访谈;隐私评审；来源代表：全体用户代表；基线版本：SRS-BASELINE-V1.0；计划发布：V1.1；验收标准：认证用户可查看本人历史会话，管理员只能按授权范围审计；用例：UC-COM-03；测试用例：TC-COM-03；变更引用：CR-08;CR-13；标签：通用能力;日志,,校务问答机器人,,,,,较高
COM-REQ-06 反馈评价,任务,yzy,已完成,,,2026/5/30,,,,,需求编号：COM-REQ-06；原类型：通用能力；适用角色：全部用户；来源：原型评审;用户反馈；来源代表：全体用户代表；基线版本：SRS-BASELINE-V1.0；计划发布：V1.1；验收标准：回答后支持有用/无用和文本反馈，后台可统计处理状态；用例：UC-COM-02；测试用例：TC-COM-02；变更引用：CR-07;CR-13；标签：通用能力;反馈,,校务问答机器人,,,,,较高
COM-REQ-07 数据隐私保护,任务,yzy,已完成,,,2026/5/23,,,,,需求编号：COM-REQ-07；原类型：通用能力；适用角色：全部用户；来源：安全评审;隐私要求；来源代表：全体用户代表；基线版本：SRS-BASELINE-V1.0；计划发布：MVP；验收标准：满足最小授权、敏感字段脱敏、审计日志和越权拦截要求；用例：UC-COM-06；测试用例：TC-COM-06；变更引用：CR-05;CR-13;CR-16；标签：通用能力;安全;隐私,,校务问答机器人,,,,,最高
